Դրամական Միվորներ ըստ երկրի։
Ալժիրը Դինար Անգոլա Կվանզա  
Ալժիրի Դինար Արգենտինա Պեսո
Ալժիր Դինար Հայաստան դրամ
Ալժիրի Դինար Բրազիլիա ռեալ 
Ալժիրի Դինար Բուլղարիա լեվ
Ալժիրի Դինար Կամբոջիա Ռիյել
Ալժիրի Դինար Կանադա դոլարը
Ալժիրի Դինար Խորվաթիա Կունա 
Ալժիրի Դինար Դանիա կրոնը
Ալժիրի Դինար Եվրոպա եվրո
Ալժիրի Դինար Հունգարիա ֆորինտ
Ալժիրի Դինար Հնդկաստան ռուփի
Ալժիրի Դինար Իրանը ռիալ 
Ալժիրի Դինար Ճապոնական լաքած իր իեն
Ալժիրի Դինար Կորեայի հավաքականը հաղթեց
Ալժիրի Դինար Լատվիա լատս 
Ալժիրի Դինար Լիտվա լիտաս 
Ալժիրի Դինար Մակեդոնիա դենար 
Ալժիրի Դինար Մալայզիա Ռինգիթ
Ալժիրի Դինար Մեքսիկա Պեսո
Ալժիրի Դինար Նիգերիա ՆԱԻՌԱ 
Ալժիրի Դինար Լեհաստան զլոտի
Ալժիրի Դինար Ռումինիա Լեու 
Ալժիրի Դինար Ռուսաստանը ռուբլի 
Ալժիրի Դինար Շվեդիա կռոն 
Ալժիրի Դինար Թաիլանդ բահթ 
Ալժիրի Դինար Ուկրաինայի գրիվեն 
Ալժիրի Դինար ԱՄՆ դոլար
Ալժիրի Դինար Վիետնամ Դոնգ 
Անգոլա Կվանզա   Արգենտինա Պեսո
Անգոլա Կվանզա   Հայաստան դրամ
Անգոլա Կվանզա   Բրազիլիա ռեալ 
Անգոլա Կվանզա   Բուլղարիա լեվ
Անգոլա Կվանզա   Կամբոջիա Ռիյել
Անգոլա Կվանզա   Կանադա դոլարը
Անգոլա Կվանզա   Խորվաթիա Կունա 
Անգոլա Կվանզա   Դանիա կրոնը
Անգոլա Կվանզա   Եվրոպա եվրո
ԱՆԳՈԼԱ Կվանզա   Հունգարիա ֆորինտ
Անգոլա Կվանզա   Հնդկաստան ռուփի
Անգոլա Կվանզա   Իրանը ռիալ 
Անգոլա Կվանզա   Ճապոնիա իեն
Անգոլա Կվանզա   Լատվիա լատս 
Անգոլա Կվանզա   Լիտվա լիտաս 
Անգոլա Կվանզա   Մակեդոնիա դենար 
Անգոլա Կվանզա   Մալայզիա Ռինգիթ
Անգոլա Կվանզա   Մեքսիկա Պեսո
Անգոլա Կվանզա   Նիգերիա ՆԱԻՌԱ 
Անգոլա Կվանզա   Լեհաստան զլոտի
Անգոլա Կվանզա   Ռումինիա Լեու 
Անգոլա Կվանզա   Ռուսաստանը ռուբլի 
Անգոլա Կվանզա   Շվեդիա կռոն 
Անգոլա Կվանզա   Թաիլանդ բահթ 
Անգոլա Կվանզա   Ուկրաինայի գրիվեն 
Անգոլա Կվանզա   ԱՄՆ դոլար
ԱՆԳՈԼԱ Կվանզա   Վիետնամ Դոնգ 
Անգոլա Կվանզա   Ալժիր դինար
Արգենտինա Պեսո Հայաստան դրամ
Արգենտինա Պեսո Բրազիլիա ռեալ 
Արգենտինա Պեսո Բուլղարիա լեվ
Արգենտինա Պեսո Կամբոջիա Ռիյել
Արգենտինա Պեսո Կանադա դոլարը
Արգենտինա Պեսո Խորվաթիա Կունա 
Արգենտինա Պեսո Դանիա կրոնը
Արգենտինա Պեսո Եվրոպա եվրո
Արգենտինա Պեսո Հունգարիա ֆորինտ 
Արգենտինա Պեսո Հնդկաստան ռուփի
Արգենտինա Պեսո Իրանը ռիալ 
Արգենտինա Պեսո Ճապոնիա իեն
Արգենտինայի պեսո Կորեայի հավաքականը հաղթեց
Արգենտինա Պեսո Լատվիա լատս 
Արգենտինա Պեսո Լիտվա լիտաս 
Արգենտինա Պեսո Մակեդոնիա դենար 
Արգենտինա Պեսո Մալայզիա Ռինգիթ
Արգենտինա Պեսո Նիգերիա ՆԱԻՌԱ 
Արգենտինա Պեսո Լեհաստան զլոտի
Արգենտինա Պեսո Ռումինիա Լեու 
Արգենտինա Պեսո Ռուսաստանը ռուբլի 
Արգենտինա Պեսո Շվեդիա կռոն 
Արգենտինա Պեսո Թաիլանդ բահթ 
Արգենտինա Պեսո Ուկրաինայի գրիվեն 
Արգենտինա պեսո ԱՄՆ դոլար
Արգենտինա Պեսո Վիետնամ Դոնգ 
Արգենտինա Պեսո Ալժիր դինար 
Արգենտինա Պեսո Անգոլա Կվանզա  
Հայաստանը դրամ Բրազիլիա ռեալ 
Հայաստանը դրամ Բուլղարիա լեվ
Հայաստանը դրամ Կամբոջիա Ռիյել
Հայաստանը դրամ Կանադա դոլարը
Հայաստանը դրամ Խորվաթիա Կունա 
Հայաստանը դրամ Դանիա կրոնը
Հայաստանը դրամ Եվրոպա եվրո
Հայաստանը դրամ Հունգարիա ֆորինտ
Հայաստանը դրամ Հնդկաստան ռուփի
Հայաստանը դրամ Իրանը ռիալ 
Հայաստանը դրամ Ճապոնիան իեն
Հայաստանը դրամ Կորեան հաղթեց
Հայաստանը դրամ Լատվիա լատս 
Հայաստանը դրամ Լիտվա լիտաս 
Հայաստանը դրամ Մակեդոնիա դենար 
Հայաստանը դրամ Մալայզիա Ռինգիթ
Հայաստանը դրամ Մեքսիկա Պեսո
Հայաստանը դրամ Նիգերիա ՆԱԻՌԱ 
Հայաստանը դրամ Լեհաստանը զլոտի
Հայաստանը դրամ Ռումինիա Լեու 
Հայաստանը դրամ Ռուսաստանը ռուբլի 
Հայաստանը դրամ Շվեդիա կռոն 
Հայաստանը դրամ Թաիլանդ բահթ 
Հայաստանը դրամ Ուկրաինայի գրիվեն 
Հայաստանը դրամ ԱՄՆ դոլար
Հայաստանը դրամ Վիետնամ Դոնգ 
Հայաստանը դրամ Ալժիր դինար 
Հայաստանը դրամ Անգոլա Կվանզա  
Հայաստանը դրամ Արգենտինա Պեսո
Բրազիլիա ռեալ  Բուլղարիա լեվ
Բրազիլիա ռեալ  Կամբոջիա Ռիյել
Բրազիլիա ռեալ  Կանադա դոլարը
Բրազիլիա ռեալ  Խորվաթիա Կունա 
Բրազիլիա ռեալ  Դանիա կրոնը
Բրազիլիա ռեալ  Եվրոպա եվրո
Բրազիլիա ռեալ  Հունգարիա ֆորինտ
Բրազիլիա ռեալ  Հնդկաստան ռուփի
Բրազիլիա ռեալ  Իրանը ռիալ 
Բրազիլիա ռեալ  Ճապոնիա իեն
Բրազիլիայի ռեալ  Կորեայի հավաքականը հաղթեց
Բրազիլիա ռեալ  Լատվիա լատս 
Բրազիլիա ռեալ  Լիտվա լիտաս 
Բրազիլիա ռեալ  Մակեդոնիա դենար 
Բրազիլիա ռեալ  Մալայզիա Ռինգիթ
Բրազիլիա ռեալ  Մեքսիկա Պեսո
Բրազիլիա ռեալ  Նիգերիա ՆԱԻՌԱ 
Բրազիլիա ռեալ  Լեհաստան զլոտի
Բրազիլիա ռեալ  Ռումինիա Լեու 
Բրազիլիա ռեալ  Ռուսաստանը ռուբլի 
Բրազիլիա ռեալ  Շվեդիա կռոն 
Բրազիլիա ռեալ  Թաիլանդ բահթ 
Բրազիլիա ռեալ  Ուկրաինայի գրիվեն 
Բրազիլիա ռեալ  ԱՄՆ դոլար
Բրազիլիա ռեալ  Վիետնամ Դոնգ 
Բրազիլիա ռեալ  Ալժիր դինար 
Բրազիլիա ռեալ  Անգոլա Կվանզա  
Բրազիլիա ռեալ  Արգենտինա Պեսո
Բրազիլիա ռեալ  Հայաստանը դրամ
Բուլղարիա լեվ Կամբոջիա Ռիյել
Բուլղարիա լեվ Կանադա դոլարը
Բուլղարիայի Լեւ Խորվաթիա Կունա 
Բուլղարիա լեվ Դանիա կրոնը
Բուլղարիա լեվ Եվրոպա եվրո
Բուլղարիայի Լեւ Հունգարիա ֆորինտ
Բուլղարիա լեվ Հնդկաստան ռուփի
Բուլղարիա լեվ Իրանը ռիալ 
Բուլղարիա լեվ Ճապոնիա իեն
Բուլղարիա լեվ Կորեայի հավաքականը հաղթեց
Բուլղարիա Լեվ Լատվիա լատս 
Բուլղարիա Լեվ Լիտվա լիտաս 
Բուլղարիա լեվ Մակեդոնիա դենար 
Բուլղարիա լեվ Մալայզիա Ռինգիթ
Բուլղարիա լեվ Մեքսիկա Պեսո
Բուլղարիա լեվ Նիգերիա ՆԱԻՌԱ 
Բուլղարիայի Լեւ Լեհաստան զլոտի
Բուլղարիա լեվ Ռումինիա Լեու 
Բուլղարիան լեվ Ռուսաստանը ռուբլի 
Բուլղարիա լեվ Շվեդիա կռոն 
Բուլղարիա լեվ Թաիլանդ բահթ 
Բուլղարիա լեվ Ուկրաինայի գրիվեն 
Բուլղարիա լեվ ԱՄՆ դոլար
Բուլղարիա լեվ Վիետնամ Դոնգ 
Բուլղարիա լեվ Ալժիր դինար 
Բուլղարիա լեվ Անգոլա Կվանզա  
Բուլղարիա լեվ Արգենտինա Պեսո
Բուլղարիան լեվ Հայաստան դրամ
Բուլղարիա լեվ Բրազիլիա ռեալ 
Կամբոջա Ռիյել Կանադա դոլարը
Կամբոջա Ռիյել Խորվաթիա Կունա 
Կամբոջա Ռիյել Դանիա կրոնը
Կամբոջա Ռիյել Եվրոպա եվրո
Կամբոջա Ռիյել Հունգարիա ֆորինտ
Կամբոջա Ռիյել Հնդկաստան ռուփի
Կամբոջա Ռիյել Իրանը ռիալ 
Կամբոջա Ռիյել Ճապոնիա իեն
Կամբոջա Ռիյել Կորեայի հավաքականը հաղթեց
Կամբոջա Ռիյել Լատվիա լատս 
Կամբոջա Ռիյել Լիտվա լիտաս 
Կամբոջա Ռիյել Մակեդոնիա դենար 
Կամբոջա Ռիյել Մալայզիա Ռինգիթ
Կամբոջա Ռիյել Մեքսիկա Պեսո
Կամբոջա Ռիյել Նիգերիա ՆԱԻՌԱ 
Կամբոջա Ռիյել Լեհաստան զլոտի
Կամբոջա Ռիյել Ռումինիա Լեու 
Կամբոջա Ռիյել Ռուսաստանը ռուբլի 
Կամբոջա Ռիյել Շվեդիա կռոն 
Կամբոջա Ռիյել Թաիլանդ բահթ 
Կամբոջա Ռիյել Ուկրաինայի գրիվեն 
Կամբոջա Ռիյել ԱՄՆ դոլար
Կամբոջա Ռիյել Վիետնամ Դոնգ 
Կամբոջա Ռիյել Ալժիր դինար 
Կամբոջա Ռիյել Անգոլա Կվանզա  
Կամբոջա Ռիյել Արգենտինա Պեսո
Կամբոջա Ռիյել Հայաստան դրամ
Կամբոջա Ռիյել Բրազիլիա ռեալ 
Կամբոջա Ռիյել Բուլղարիա լեվ
Կանադա Դոլարի Խորվաթիա Կունա 
Կանադա Դոլարի Դանիա կրոնը
Կանադա դոլարը Եվրոպա եվրո
Կանադա Դոլարի Հունգարիա ֆորինտ
Կանադա Դոլարի Հնդկաստան ռուփի
Կանադա Դոլարի Իրանը ռիալ 
Կանադա Դոլարի Ճապոնիա իեն
Կանադա Դոլարի Կորեայի հավաքականը հաղթեց
Կանադա դոլար Լատվիա լատս 
Կանադա դոլար Լիտվա լիտաս 
Կանադա Դոլարի Մակեդոնիա դենար 
Կանադա Դոլարի Մալայզիա Ռինգիթ
Կանադան Դոլարի Մեքսիկա Պեսո
Կանադա Դոլարի Նիգերիա ՆԱԻՌԱ 
Կանադա Դոլարի Լեհաստան զլոտի
Կանադա Դոլարի Ռումինիա Լեու 
Կանադա Դոլարի Ռուսաստանը ռուբլի 
Կանադա Դոլարի Շվեդիա կռոն 
Կանադա Դոլարի Թաիլանդ բահթ 
Կանադա Դոլարի Ուկրաինայի գրիվեն 
Կանադա Դոլարի Վիետնամ Դոնգ 
Կանադա Դոլարի Ալժիր դինար 
Կանադա Դոլարի Անգոլա Կվանզա  
Կանադա Դոլարի Արգենտինա Պեսո
Կանադա Դոլարի Հայաստան դրամ
Կանադան Դոլարի Բրազիլիա ռեալ 
Կանադա Դոլարի Բուլղարիա լեվ
Կանադա Դոլարի Կամբոջիա Ռիյել
Խորվաթիա Կունա  Դանիա կռոն 
Խորվաթիա Կունա  Եվրոպա եվրո
Խորվաթիա Կունա  Հունգարիա ֆորինտ 
Խորվաթիա Կունա  Հնդկաստան ռուփի 
Խորվաթիա Կունա  Իրանը ռիալ 
Խորվաթիա Կունա  Ճապոնիա յեն
Խորվաթիա Կունա  Կորեայի հավաքականը հաղթեց
Խորվաթիա Կունա  Լատվիա լատս 
Խորվաթիա Կունա  Լիտվա լիտաս 
Խորվաթիա Կունա  Մակեդոնիա դենար 
Խորվաթիա Կունա  Մալայզիա Ռինգիթ
Խորվաթիա Կունա  Մեքսիկա Պեսո
Խորվաթիա Կունա  Նիգերիա ՆԱԻՌԱ 
Խորվաթիա Կունա  Լեհաստան զլոտի
Խորվաթիա Կունա  Ռումինիա Լեու 
Խորվաթիա Կունա  Ռուսաստան ռուբլի
Խորվաթիա Կունա  Շվեդիա կռոն 
Խորվաթիա Կունա  Թաիլանդ բահթ 
Խորվաթիա Կունա  Ուկրաինա գրիվեն 
Խորվաթիա Կունա  ԱՄՆ դոլար
Խորվաթիա Կունա  Վիետնամ Դոնգ 
Խորվաթիա Կունա  Ալժիրի դինար
Խորվաթիա Կունա  Անգոլա Կվանզա  
Խորվաթիա Կունա  Արգենտինա պեսո
Խորվաթիա Կունա  Հայաստան դրամ
